application/vnd.hzn-3d-crossword,3D Crossword Plugin,.x3d
application/vnd.hp-pclxl,PCL 6 Enhanced (Formely PCL XL),.pclxl
application/vnd.picsel,Pcsel eFIF File,.efif
image/x-pcx,PCX Image,.pcx
image/vnd.adobe.photoshop,Photoshop Document,.psd
application/pics-rules,PICSRules,.prf
image/x-pict,PICT Image,.pic
application/x-chat,pIRCh,.chat
application/pkcs10,PKCS #10 - Certification Request Standard,.p10
application/x-pkcs12,PKCS #12 - Personal Information Exchange Syntax Standard,.p12
application/pkcs7-mime,PKCS #7 - Cryptographic Message Syntax Standard,.p7m
application/pkcs7-signature,PKCS #7 - Cryptographic Message Syntax Standard,.p7s
application/x-pkcs7-certreqresp,PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),.p7r
application/x-pkcs7-certificates,PKCS #7 - Cryptographic Message Syntax Standard (Certificates),.p7b
application/pkcs8,PKCS #8 - Private-Key Information Syntax Standard,.p8
application/vnd.pocketlearn,PocketLearn Viewers,.plf
image/x-portable-anymap,Portable Anymap Image,.pnm
image/x-portable-bitmap,Portable Bitmap Format,.pbm
application/x-font-pcf,Portable Compiled Format,.pcf
application/font-tdpfr,Portable Font Resource,.pfr
application/x-chess-pgn,Portable Game Notation (Chess Games),.pgn
image/x-portable-graymap,Portable Graymap Format,.pgm
image/png,Portable Network Graphics (PNG),.png
image/x-portable-pixmap,Portable Pixmap Format,.ppm
application/pskc+xml,Portable Symmetric Key Container,.pskcxml
application/vnd.ctc-posml,PosML,.pml
application/postscript,PostScript,.ai
application/x-font-type1,PostScript Fonts,.pfa
application/vnd.powerbuilder6,PowerBuilder,.pbd
application/pgp-encrypted,Pretty Good Privacy,""
application/pgp-signature,Pretty Good Privacy - Signature,.pgp
application/vnd.previewsystems.box,Preview Systems ZipLock/VBox,.box
application/vnd.pvi.ptid1,Princeton Video Image,.ptid
application/pls+xml,Pronunciation Lexicon Specification,.pls
application/vnd.pg.format,Proprietary P&G Standard Reporting System,.str
application/vnd.pg.osasli,Proprietary P&G Standard Reporting System,.ei6
text/prs.lines.tag,PRS Lines Tag,.dsc
application/x-font-linux-psf,PSF Fonts,.psf
application/vnd.publishare-delta-tree,PubliShare Objects,.qps
application/vnd.pmi.widget,Qualcomm's Plaza Mobile Internet,.wg
application/vnd.quark.quarkxpress,QuarkXpress,.qxd
application/vnd.epson.esf,QUASS Stream Player,.esf
application/vnd.epson.msf,QUASS Stream Player,.msf
application/vnd.epson.ssf,QUASS Stream Player,.ssf
application/vnd.epson.quickanime,QuickAnime Player,.qam
application/vnd.intu.qfx,Quicken,.qfx
video/quicktime,Quicktime Video,.qt
application/x-rar-compressed,RAR Archive,.rar
audio/x-pn-realaudio,Real Audio Sound,.ram
audio/x-pn-realaudio-plugin,Real Audio Sound,.rmp
application/rsd+xml,Really Simple Discovery,.rsd
application/vnd.rn-realmedia,RealMedia,.rm
application/vnd.realvnc.bed,RealVNC,.bed
application/vnd.recordare.musicxml,Recordare Applications,.mxl
application/vnd.recordare.musicxml+xml,Recordare Applications,.musicxml
application/relax-ng-compact-syntax,Relax NG Compact Syntax,.rnc
application/vnd.data-vision.rdz,RemoteDocs R-Viewer,.rdz
application/rdf+xml,Resource Description Framework,.rdf
application/vnd.cloanto.rp9,RetroPlatform Player,.rp9
application/vnd.jisp,RhymBox,.jisp
application/rtf,Rich Text Format,.rtf
text/richtext,Rich Text Format (RTF),.rtx
application/vnd.route66.link66+xml,ROUTE 66 Location Based Services,.link66
application/rss+xml,RSS - Really Simple Syndication,".rss, .xml"
application/shf+xml,S Hexdump Format,.shf
application/vnd.sailingtracker.track,SailingTracker,.st
image/svg+xml,Scalable Vector Graphics (SVG),.svg
application/vnd.sus-calendar,ScheduleUs,.sus
application/sru+xml,Search/Retrieve via URL Response Format,.sru
application/set-payment-initiation,Secure Electronic Transaction - Payment,.setpay
application/set-registration-initiation,Secure Electronic Transaction - Registration,.setreg
application/vnd.sema,Secured eMail,.sema
application/vnd.semd,Secured eMail,.semd
application/vnd.semf,Secured eMail,.semf
application/vnd.seemail,SeeMail,.see
application/x-font-snf,Server Normal Format,.snf
application/scvp-vp-request,Server-Based Certificate Validation Protocol - Validation Policies - Request,.spq
application/scvp-vp-response,Server-Based Certificate Validation Protocol - Validation Policies - Response,.spp
application/scvp-cv-request,Server-Based Certificate Validation Protocol - Validation Request,.scq
application/scvp-cv-response,Server-Based Certificate Validation Protocol - Validation Response,.scs
application/sdp,Session Description Protocol,.sdp
text/x-setext,Setext,.etx
video/x-sgi-movie,SGI Movie,.movie
application/vnd.shana.informed.formdata,Shana Informed Filler,.ifm
application/vnd.shana.informed.formtemplate,Shana Informed Filler,.itp
application/vnd.shana.informed.interchange,Shana Informed Filler,.iif
application/vnd.shana.informed.package,Shana Informed Filler,.ipk
application/thraud+xml,Sharing Transaction Fraud Data,.tfi
application/x-shar,Shell Archive,.shar
image/x-rgb,Silicon Graphics RGB Bitmap,.rgb
application/vnd.epson.salt,SimpleAnimeLite Player,.slt
application/vnd.accpac.simply.aso,Simply Accounting,.aso
application/vnd.accpac.simply.imp,Simply Accounting - Data Import,.imp
application/vnd.simtech-mindmapper,SimTech MindMapper,.twd
application/vnd.commonspace,Sixth Floor Media - CommonSpace,.csp
application/vnd.yamaha.smaf-audio,SMAF Audio,.saf
application/vnd.smaf,SMAF File,.mmf
application/vnd.yamaha.smaf-phrase,SMAF Phrase,.spf
application/vnd.smart.teacher,SMART Technologies Apps,.teacher
application/vnd.svd,SourceView Document,.svd
application/sparql-query,SPARQL - Query,.rq
application/sparql-results+xml,SPARQL - Results,.srx
application/srgs,Speech Recognition Grammar Specification,.gram
application/srgs+xml,Speech Recognition Grammar Specification - XML,.grxml
application/ssml+xml,Speech Synthesis Markup Language,.ssml
application/vnd.koan,SSEYO Koan Play File,.skp
text/sgml,Standard Generalized Markup Language (SGML),.sgml
application/vnd.stardivision.calc,StarOffice - Calc,.sdc
application/vnd.stardivision.draw,StarOffice - Draw,.sda
application/vnd.stardivision.impress,StarOffice - Impress,.sdd
application/vnd.stardivision.math,StarOffice - Math,.smf
application/vnd.stardivision.writer,StarOffice - Writer,.sdw
application/vnd.stardivision.writer-global,StarOffice - Writer (Global),.sgl
application/vnd.stepmania.stepchart,StepMania,.sm
application/x-stuffit,Stuffit Archive,.sit
application/x-stuffitx,Stuffit Archive,.sitx
application/vnd.solent.sdkm+xml,SudokuMagic,.sdkm
application/vnd.olpc-sugar,Sugar Linux Application Bundle,.xo
audio/basic,Sun Audio - Au file format,.au
application/vnd.wqd,SundaHus WQ,.wqd
application/vnd.symbian.install,Symbian Install Package,.sis
application/smil+xml,Synchronized Multimedia Integration Language,.smi
application/vnd.syncml+xml,SyncML,.xsm
application/vnd.syncml.dm+wbxml,SyncML - Device Management,.bdm
application/vnd.syncml.dm+xml,SyncML - Device Management,.xdm
application/x-sv4cpio,System V Release 4 CPIO Archive,.sv4cpio
application/x-sv4crc,System V Release 4 CPIO Checksum Data,.sv4crc
application/sbml+xml,Systems Biology Markup Language,.sbml
text/tab-separated-values,Tab Separated Values,.tsv
image/tiff,Tagged Image File Format,.tiff
application/vnd.tao.intent-module-archive,Tao Intent,.tao
application/x-tar,Tar File (Tape Archive),.tar
application/x-tcl,Tcl Script,.tcl
application/x-tex,TeX,.tex
application/x-tex-tfm,TeX Font Metric,.tfm
application/tei+xml,Text Encoding and Interchange,.tei
text/plain,Text File,.txt
application/vnd.spotfire.dxp,TIBCO Spotfire,.dxp
application/vnd.spotfire.sfs,TIBCO Spotfire,.sfs
application/timestamped-data,Time Stamped Data Envelope,.tsd
application/vnd.trid.tpt,TRI Systems Config,.tpt
application/vnd.triscape.mxs,Triscape Map Explorer,.mxs
text/troff,troff,.t
application/vnd.trueapp,True BASIC,.tra
application/x-font-ttf,TrueType Font,.ttf
text/turtle,Turtle (Terse RDF Triple Language),.ttl
application/vnd.umajin,UMAJIN,.umj
application/vnd.uoml+xml,Unique Object Markup Language,.uoml
application/vnd.unity,Unity 3d,.unityweb
application/vnd.ufdl,Universal Forms Description Language,.ufd
text/uri-list,URI Resolution Services,.uri
application/vnd.uiq.theme,User Interface Quartz - Theme (Symbian),.utz
application/x-ustar,Ustar (Uniform Standard Tape Archive),.ustar
text/x-uuencode,UUEncode,.uu
text/x-vcalendar,vCalendar,.vcs
text/x-vcard,vCard,.vcf
application/x-cdlink,Video CD,.vcd
application/vnd.vsf,Viewport+,.vsf
model/vrml,Virtual Reality Modeling Language,.wrl
application/vnd.vcx,VirtualCatalog,.vcx
model/vnd.mts,Virtue MTS,.mts
model/vnd.vtu,Virtue VTU,.vtu
application/vnd.visionary,Visionary,.vis
video/vnd.vivo,Vivo,.viv
"application/ccxml+xml,",Voice Browser Call Control,.ccxml
application/voicexml+xml,VoiceXML,.vxml
application/x-wais-source,WAIS Source,.src
application/vnd.wap.wbxml,WAP Binary XML (WBXML),.wbxml
image/vnd.wap.wbmp,WAP Bitamp (WBMP),.wbmp
audio/x-wav,Waveform Audio File Format (WAV),.wav
application/davmount+xml,Web Distributed Authoring and Versioning,.davmount
application/x-font-woff,Web Open Font Format,.woff
application/wspolicy+xml,Web Services Policy,.wspolicy
image/webp,WebP Image,.webp
application/vnd.webturbo,WebTurbo,.wtb
application/widget,Widget Packaging and XML Configuration,.wgt
application/winhlp,WinHelp,.hlp
text/vnd.wap.wml,Wireless Markup Language (WML),.wml
text/vnd.wap.wmlscript,Wireless Markup Language Script (WMLScript),.wmls
application/vnd.wap.wmlscriptc,WMLScript,.wmlsc
application/vnd.wordperfect,Wordperfect,.wpd
application/vnd.wt.stf,Worldtalk,.stf
application/wsdl+xml,WSDL - Web Services Description Language,.wsdl
image/x-xbitmap,X BitMap,.xbm
image/x-xpixmap,X PixMap,.xpm
image/x-xwindowdump,X Window Dump,.xwd
application/x-x509-ca-cert,X.509 Certificate,.der
application/x-xfig,Xfig,.fig
application/xhtml+xml,XHTML - The Extensible HyperText Markup Language,.xhtml
application/xml,XML - Extensible Markup Language,.xml
application/xcap-diff+xml,XML Configuration Access Protocol - XCAP Diff,.xdf
application/xenc+xml,XML Encryption Syntax and Processing,.xenc
application/patch-ops-error+xml,XML Patch Framework,.xer
application/resource-lists+xml,XML Resource Lists,.rl
application/rls-services+xml,XML Resource Lists,.rs
application/resource-lists-diff+xml,XML Resource Lists Diff,.rld
application/xslt+xml,XML Transformations,.xslt
application/xop+xml,XML-Binary Optimized Packaging,.xop
application/x-xpinstall,XPInstall - Mozilla,.xpi
application/xspf+xml,XSPF - XML Shareable Playlist Format,.xspf
application/vnd.mozilla.xul+xml,XUL - XML User Interface Language,.xul
chemical/x-xyz,XYZ File Format,.xyz
application/yang,YANG Data Modeling Language,.yang
application/yin+xml,YIN (YANG - XML),.yin
application/vnd.zul,Z.U.L. Geometry,.zir
application/zip,Zip Archive,.zip
application/vnd.handheld-entertainment+xml,ZVUE Media Manager,.zmm
application/vnd.zzazz.deck+xml,Zzazz Deck,.zaz
